case_id,case_class,request_path,request_body
public_post_001,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""도서관 좌석 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-01-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_002,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""기숙사 점검 요청 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-02-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_003,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""수강정정 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-03-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_004,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""장학금 상담 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-04-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_005,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""교환학생 일정 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-05-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_006,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""취업지원센터 안내 요청 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-06-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_007,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""졸업요건 확인 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-07-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_008,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""캠퍼스 네트워크 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-08-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_009,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""학생회 공지 확인 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-09-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_010,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""장비 대여 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-10-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_011,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""select 문이 포함된 강의자료 문의 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-11-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}"
public_post_012,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""union all select 교육자료 제보 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-12-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}"
public_post_013,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""script 태그 표기 문의 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-13-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}"
public_post_014,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""../admin 경로 예시 확인 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-14-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}"
public_post_015,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""cmd.exe 문자열이 포함된 게시글 신고 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-15-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}"
public_post_016,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""powershell -enc 예시 확인 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-16-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}"
public_post_017,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""whoami 출력 사례 문의 ${mixed500_v2_run_id}"",""message"":""보안성 자료나 필터 사례를 설명하는 정상 문의입니다."",""contactEmail"":""portal-amb-17-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/security-lab""}"
public_post_018,attack,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""<script>alert(1)</script> ${mixed500_v2_run_id}"",""message"":""명확한 공격 패턴 차단 검증입니다."",""contactEmail"":""portal-attack-18-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_019,attack,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""<img src=x onerror=alert(1)> ${mixed500_v2_run_id}"",""message"":""명확한 공격 패턴 차단 검증입니다."",""contactEmail"":""portal-attack-19-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_020,attack,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""1' OR '1'='1 ${mixed500_v2_run_id}"",""message"":""명확한 공격 패턴 차단 검증입니다."",""contactEmail"":""portal-attack-20-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_021,normal,/api/auth/register,"{""email"":""normal-v2-21-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생A"",""role"":""STUDENT""}"
public_post_022,normal,/api/auth/register,"{""email"":""normal-v2-22-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생B"",""role"":""STUDENT""}"
public_post_023,normal,/api/auth/register,"{""email"":""normal-v2-23-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생C"",""role"":""STUDENT""}"
public_post_024,normal,/api/auth/register,"{""email"":""normal-v2-24-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생D"",""role"":""STUDENT""}"
public_post_025,normal,/api/auth/register,"{""email"":""normal-v2-25-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생E"",""role"":""STUDENT""}"
public_post_026,normal,/api/auth/register,"{""email"":""normal-v2-26-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생F"",""role"":""STUDENT""}"
public_post_027,normal,/api/auth/register,"{""email"":""normal-v2-27-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생G"",""role"":""STUDENT""}"
public_post_028,ambiguous,/api/auth/register,"{""email"":""ambiguous-v2-28-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""보안스터디"",""role"":""STUDENT""}"
public_post_029,ambiguous,/api/auth/register,"{""email"":""ambiguous-v2-29-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""로그분석반"",""role"":""STUDENT""}"
public_post_030,ambiguous,/api/auth/register,"{""email"":""ambiguous-v2-30-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""Script Review Note"",""role"":""STUDENT""}"
public_post_031,ambiguous,/api/auth/register,"{""email"":""ambiguous-v2-31-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""WAF Test Lab"",""role"":""STUDENT""}"
public_post_032,ambiguous,/api/auth/register,"{""email"":""ambiguous-v2-32-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""침해대응실습"",""role"":""STUDENT""}"
public_post_033,ambiguous,/api/auth/register,"{""email"":""ambiguous-v2-33-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""시큐어코딩반"",""role"":""STUDENT""}"
public_post_034,attack,/api/auth/register,"{""email"":""attack-v2-34-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""<script>alert(1)</script>"",""role"":""STUDENT""}"
public_post_035,attack,/api/auth/register,"{""email"":""attack-v2-35-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""../../etc/passwd"",""role"":""STUDENT""}"
public_post_036,normal,/api/auth/login,"{""email"":""student11@campus.local"",""password"":""Password123!""}"
public_post_037,normal,/api/auth/login,"{""email"":""student12@campus.local"",""password"":""Password123!""}"
public_post_038,normal,/api/auth/login,"{""email"":""prof1@campus.local"",""password"":""Password123!""}"
public_post_039,normal,/api/auth/login,"{""email"":""admin1@campus.local"",""password"":""Password123!""}"
public_post_040,normal,/api/auth/login,"{""email"":""student11@campus.local"",""password"":""Password123!""}"
public_post_041,normal,/api/auth/login,"{""email"":""student12@campus.local"",""password"":""Password123!""}"
public_post_042,normal,/api/auth/login,"{""email"":""prof1@campus.local"",""password"":""Password123!""}"
public_post_043,normal,/api/auth/login,"{""email"":""admin1@campus.local"",""password"":""Password123!""}"
public_post_044,ambiguous,/api/auth/login,"{""email"":""student11@campus.local"",""password"":""Password123! ""}"
public_post_045,ambiguous,/api/auth/login,"{""email"":""student12@campus.local"",""password"":""Password123! ""}"
public_post_046,ambiguous,/api/auth/login,"{""email"":""student11@campus.local "",""password"":""Password123!""}"
public_post_047,ambiguous,/api/auth/login,"{""email"":""prof1@campus.local"",""password"":""Password123! ""}"
public_post_048,ambiguous,/api/auth/login,"{""email"":""admin1@campus.local"",""password"":""Password123! ""}"
public_post_049,attack,/api/auth/login,"{""email"":""student11@campus.local"",""password"":""' OR '1'='1""}"
public_post_050,attack,/api/auth/login,"{""email"":""student11@campus.local"",""password"":""<script>alert(1)</script>""}"
