case_id,case_class,request_intent,http_method,request_path,content_type,request_body,auth_scope,capture_var,capture_expr,accepted_codes
auth_001,normal,auth-register-session,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-${__property(mixed500_run_id)}-01@campus.local"",""password"":""Password123!"",""name"":""auth-session-user"",""role"":""STUDENT""}",none,,,201|409
auth_002,normal,auth-login-session,POST,/api/auth/login,application/json,"{""email"":""jmx-auth-${__property(mixed500_run_id)}-01@campus.local"",""password"":""Password123!""}",none,auth_dynamic_access_token,accessToken,200|401
auth_003,normal,auth-me-session,GET,/api/auth/me,,,auth_dynamic,,,200|401
auth_004,normal,auth-refresh-session,POST,/api/auth/refresh,application/json,,none,,,200|401
auth_005,normal,auth-logout-session,POST,/api/auth/logout,application/json,,none,,,204
auth_006,normal,auth-login-student1,POST,/api/auth/login,application/json,"{""email"":""student1@campus.local"",""password"":""Password123!""}",none,auth_dynamic_access_token,accessToken,200|401
auth_007,normal,auth-me-student1,GET,/api/auth/me,,,auth_dynamic,,,200|401
auth_008,normal,auth-refresh-student1,POST,/api/auth/refresh,application/json,,none,,,200|401
auth_009,normal,auth-logout-student1,POST,/api/auth/logout,application/json,,none,,,204
auth_010,normal,auth-login-admin1,POST,/api/auth/login,application/json,"{""email"":""admin1@campus.local"",""password"":""Password123!""}",none,,,200|401
auth_011,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-11@campus.local"",""password"":""Password123!"",""name"":""정상회원-11"",""role"":""STUDENT""}",none,,,201|409
auth_012,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-12@campus.local"",""password"":""Password123!"",""name"":""정상회원-12"",""role"":""STUDENT""}",none,,,201|409
auth_013,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-13@campus.local"",""password"":""Password123!"",""name"":""정상회원-13"",""role"":""STUDENT""}",none,,,201|409
auth_014,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-14@campus.local"",""password"":""Password123!"",""name"":""정상회원-14"",""role"":""STUDENT""}",none,,,201|409
auth_015,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-15@campus.local"",""password"":""Password123!"",""name"":""정상회원-15"",""role"":""STUDENT""}",none,,,201|409
auth_016,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-16@campus.local"",""password"":""Password123!"",""name"":""정상회원-16"",""role"":""STUDENT""}",none,,,201|409
auth_017,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-17@campus.local"",""password"":""Password123!"",""name"":""정상회원-17"",""role"":""STUDENT""}",none,,,201|409
auth_018,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-18@campus.local"",""password"":""Password123!"",""name"":""정상회원-18"",""role"":""STUDENT""}",none,,,201|409
auth_019,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-19@campus.local"",""password"":""Password123!"",""name"":""정상회원-19"",""role"":""STUDENT""}",none,,,201|409
auth_020,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-20@campus.local"",""password"":""Password123!"",""name"":""정상회원-20"",""role"":""STUDENT""}",none,,,201|409
auth_021,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-21@campus.local"",""password"":""Password123!"",""name"":""정상회원-21"",""role"":""STUDENT""}",none,,,201|409
auth_022,normal,auth-register-normal,POST,/api/auth/register,application/json,"{""email"":""jmx-auth-normal-${__property(mixed500_run_id)}-22@campus.local"",""password"":""Password123!"",""name"":""정상회원-22"",""role"":""STUDENT""}",none,,,201|409
