case_id,case_class,request_path,request_body
public_post_001,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""도서관 운영 문의 ${mixed500_run_id}-01"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-01@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_002,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""기숙사 점검 요청 ${mixed500_run_id}-02"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-02@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_003,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""수강정정 문의 ${mixed500_run_id}-03"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-03@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_004,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""장학금 상담 ${mixed500_run_id}-04"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-04@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_005,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""교환학생 일정 문의 ${mixed500_run_id}-05"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-05@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_006,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""취업지원센터 안내 요청 ${mixed500_run_id}-06"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-06@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_007,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""졸업요건 확인 ${mixed500_run_id}-07"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-07@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_008,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""캠퍼스 네트워크 문의 ${mixed500_run_id}-08"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-08@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_009,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""학생회 공지 확인 ${mixed500_run_id}-09"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-09@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_010,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""장비 대여 문의 ${mixed500_run_id}-10"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-10@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_011,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""프린터 장애 신고 ${mixed500_run_id}-11"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-11@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_012,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""행사 일정 문의 ${mixed500_run_id}-12"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-12@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_013,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""세미나 참석 확인 ${mixed500_run_id}-13"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-13@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_014,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""휴학 절차 문의 ${mixed500_run_id}-14"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-14@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_015,normal,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""복학 절차 문의 ${mixed500_run_id}-15"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-${mixed500_run_id}-15@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_016,normal,/api/auth/register,"{""email"":""normal-1-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생A"",""role"":""STUDENT""}"
public_post_017,normal,/api/auth/register,"{""email"":""normal-2-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생B"",""role"":""STUDENT""}"
public_post_018,normal,/api/auth/register,"{""email"":""normal-3-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생C"",""role"":""STUDENT""}"
public_post_019,normal,/api/auth/register,"{""email"":""normal-4-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생D"",""role"":""STUDENT""}"
public_post_020,normal,/api/auth/register,"{""email"":""normal-5-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생E"",""role"":""STUDENT""}"
public_post_021,normal,/api/auth/register,"{""email"":""normal-6-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생F"",""role"":""STUDENT""}"
public_post_022,normal,/api/auth/register,"{""email"":""normal-7-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생G"",""role"":""STUDENT""}"
public_post_023,normal,/api/auth/register,"{""email"":""normal-8-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""신입생H"",""role"":""STUDENT""}"
public_post_024,normal,/api/auth/login,"{""email"":""student11@campus.local"",""password"":""Password123!""}"
public_post_025,normal,/api/auth/login,"{""email"":""student12@campus.local"",""password"":""Password123!""}"
public_post_026,normal,/api/auth/login,"{""email"":""prof1@campus.local"",""password"":""Password123!""}"
public_post_027,normal,/api/auth/login,"{""email"":""admin1@campus.local"",""password"":""Password123!""}"
public_post_028,normal,/api/auth/login,"{""email"":""student11@campus.local"",""password"":""Password123!""}"
public_post_029,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""select 문이 포함된 강의자료 문의 ${mixed500_run_id}-101"",""message"":""검색어가 차단되는지 확인하려는 정상 문의입니다."",""contactEmail"":""portal-${mixed500_run_id}-101@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_030,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""union all select 교육자료 제보 ${mixed500_run_id}-102"",""message"":""검색어가 차단되는지 확인하려는 정상 문의입니다."",""contactEmail"":""portal-${mixed500_run_id}-102@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_031,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""script 태그 표기 문의 ${mixed500_run_id}-103"",""message"":""검색어가 차단되는지 확인하려는 정상 문의입니다."",""contactEmail"":""portal-${mixed500_run_id}-103@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_032,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""../admin 경로 예시 확인 ${mixed500_run_id}-104"",""message"":""검색어가 차단되는지 확인하려는 정상 문의입니다."",""contactEmail"":""portal-${mixed500_run_id}-104@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_033,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""cmd.exe 문자열이 포함된 게시글 신고 ${mixed500_run_id}-105"",""message"":""검색어가 차단되는지 확인하려는 정상 문의입니다."",""contactEmail"":""portal-${mixed500_run_id}-105@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_034,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""powershell -enc 예시 확인 ${mixed500_run_id}-106"",""message"":""검색어가 차단되는지 확인하려는 정상 문의입니다."",""contactEmail"":""portal-${mixed500_run_id}-106@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_035,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""whoami 출력 사례 문의 ${mixed500_run_id}-107"",""message"":""검색어가 차단되는지 확인하려는 정상 문의입니다."",""contactEmail"":""portal-${mixed500_run_id}-107@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_036,ambiguous,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""WAF 과탐 의심 문의 ${mixed500_run_id}-108"",""message"":""검색어가 차단되는지 확인하려는 정상 문의입니다."",""contactEmail"":""portal-${mixed500_run_id}-108@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_037,ambiguous,/api/auth/register,"{""email"":""ambiguous-1-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""보안스터디"",""role"":""STUDENT""}"
public_post_038,ambiguous,/api/auth/register,"{""email"":""ambiguous-2-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""침해대응실습"",""role"":""STUDENT""}"
public_post_039,ambiguous,/api/auth/register,"{""email"":""ambiguous-3-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""정규표현식연구"",""role"":""STUDENT""}"
public_post_040,ambiguous,/api/auth/register,"{""email"":""ambiguous-4-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""WAF테스트반"",""role"":""STUDENT""}"
public_post_041,ambiguous,/api/auth/register,"{""email"":""ambiguous-5-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""로그분석팀"",""role"":""STUDENT""}"
public_post_042,ambiguous,/api/auth/register,"{""email"":""ambiguous-6-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""보안과제반"",""role"":""STUDENT""}"
public_post_043,ambiguous,/api/auth/register,"{""email"":""ambiguous-7-${__UUID()}@campus.local"",""password"":""Password123!"",""name"":""시큐어코딩반"",""role"":""STUDENT""}"
public_post_044,ambiguous,/api/auth/login,"{""email"":""student11@campus.local"",""password"":""Password123! ""}"
public_post_045,ambiguous,/api/auth/login,"{""email"":""student12@campus.local"",""password"":""Password123! ""}"
public_post_046,ambiguous,/api/auth/login,"{""email"":""student11@campus.local "",""password"":""Password123!""}"
public_post_047,ambiguous,/api/auth/login,"{""email"":""prof1@campus.local"",""password"":""Password123! ""}"
public_post_048,ambiguous,/api/auth/login,"{""email"":""admin1@campus.local"",""password"":""Password123! ""}"
public_post_049,attack,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""<script>alert(1)</script> ${mixed500_run_id}-201"",""message"":""명확한 XSS 시도 테스트"",""contactEmail"":""portal-${mixed500_run_id}-201@example.com"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}"
public_post_050,attack,/api/auth/login,"{""email"":""' or 1=1--@campus.local"",""password"":""Password123!""}"
